Date,IVV,RSP,SH,SPLG,SPY,SPYG,VOO,VOOG,VOOV
2020-05-22,278.7997131347656,90.14180755615234,22.178218841552734,32.61051940917969,278.1901550292969,40.84446334838867,254.93284606933594,170.3853759765625,93.45022583007812
2020-05-26,282.3363037109375,93.06227111816406,21.878387451171875,33.042816162109375,281.6176452636719,41.017738342285156,258.2093811035156,171.1186065673828,95.69615936279297
2020-05-27,286.4561462402344,95.3649673461914,21.587926864624023,33.512725830078125,285.8077392578125,41.36429214477539,261.9739685058594,172.5946502685547,97.90547180175781
2020-05-28,285.8917236328125,94.41018676757812,21.606666564941406,33.45633316040039,285.28045654296875,41.3739128112793,261.4576110839844,172.5175018310547,97.4746322631836
2020-05-29,287.0486755371094,94.26978302001953,21.531707763671875,33.5785026550293,286.5516357421875,41.63382339477539,262.631103515625,173.7041015625,97.55711364746094
2020-06-01,288.4595642089844,95.37432098388672,21.419269561767578,33.73826217651367,287.7098388671875,41.86485290527344,263.7764587402344,174.7943115234375,97.8229751586914
2020-06-02,290.8580017089844,96.5818099975586,21.250614166259766,34.02020263671875,290.09210205078125,42.18252182006836,265.94512939453125,175.90377807617188,98.79466247558594
2020-06-03,294.7709045410156,99.19342041015625,20.960153579711914,34.47129440307617,293.9527282714844,42.5483283996582,269.4561767578125,177.63067626953125,100.80229949951172
2020-06-04,293.783203125,99.6988754272461,21.016368865966797,34.367916107177734,293.18060302734375,42.20177459716797,268.7709045410156,176.04847717285156,101.15982055664062
2020-06-05,301.439697265625,103.37757110595703,20.491662979125977,35.25131607055664,300.6947937011719,43.17402648925781,275.64300537109375,180.1680145263672,104.28583526611328
2020-06-08,305.1267395019531,105.85810852050781,20.219940185546875,35.70241928100586,304.32928466796875,43.48207092285156,278.9850769042969,181.4029083251953,106.19258880615234
2020-06-09,302.87872314453125,103.20906829833984,20.36985206604004,35.42987823486328,302.0600280761719,43.52057647705078,277.00421142578125,181.58619689941406,104.2491683959961
2020-06-10,301.09161376953125,100.66304016113281,20.48229217529297,35.223121643066406,300.3745422363281,43.751609802246094,275.2768859863281,182.5991973876953,102.03070831298828
2020-06-11,283.6719055175781,93.69877624511719,21.672250747680664,33.18379211425781,283.05828857421875,41.44129180908203,259.4110412597656,172.83587646484375,95.38450622558594
2020-06-12,287.2179870605469,95.57087707519531,21.409900665283203,33.60669708251953,286.4481201171875,41.874473571777344,262.5372619628906,174.5338134765625,96.9979248046875
2020-06-15,289.8540344238281,96.62864685058594,21.222501754760742,33.90742874145508,289.1222839355469,42.25953674316406,264.9311828613281,176.2993621826172,97.75880432128906
2020-06-16,295.4265441894531,98.64115142822266,20.79149627685547,34.555885314941406,294.6871643066406,43.13553237915039,270.1134338378906,179.84962463378906,99.43638610839844
2020-06-17,294.0948181152344,97.53659057617188,20.894563674926758,34.396114349365234,293.463134765625,43.12590026855469,268.8742370605469,179.90753173828125,98.39134216308594
2020-06-18,294.3214111328125,97.47108459472656,20.875823974609375,34.43369674682617,293.57611083984375,43.17402648925781,269.1182556152344,180.10044860839844,98.4188461303711
2020-06-19,292.5269470214844,96.46014404296875,21.00699806213379,34.236351013183594,291.8983459472656,43.02963638305664,267.53167724609375,179.49267578125,97.6488037109375
2020-06-22,294.6237487792969,96.56822204589844,20.866455078125,34.461055755615234,293.77093505859375,43.50650405883789,269.3059997558594,181.6055145263672,97.54795837402344
2020-06-23,295.8231506347656,96.6810302734375,20.772754669189453,34.60268783569336,295.12335205078125,43.78643798828125,270.5265197753906,182.76321411132812,97.66710662841797
2020-06-24,288.3522644042969,93.48528289794922,21.288089752197266,33.73406982421875,287.5951232910156,42.772865295410156,263.6075134277344,178.38319396972656,94.97196960449219
2020-06-25,291.37469482421875,94.44400787353516,21.063215255737305,34.083404541015625,290.6783752441406,43.197601318359375,266.39569091796875,180.15113830566406,95.90532684326172
2020-06-26,284.4232482910156,92.52654266357422,21.56918716430664,33.27144241333008,283.7742614746094,42.116458892822266,260.15264892578125,175.5450439453125,93.89999389648438
2020-06-29,288.69232177734375,94.3687973022461,21.250614166259766,33.762393951416016,287.9450988769531,42.647377014160156,263.9491271972656,178.02227783203125,95.48023223876953
2020-06-30,292.49859619140625,95.64710235595703,20.950780868530273,34.22502136230469,291.63348388671875,43.361698150634766,267.4690246582031,180.85751342773438,96.57070922851562
2020-07-01,294.5008544921875,95.51551818847656,20.819602966308594,34.451622009277344,293.67633056640625,43.78643798828125,269.2998046875,182.75418090820312,96.57070922851562
2020-07-02,296.0498352050781,96.08888244628906,20.71653938293457,34.61212158203125,295.2935485839844,44.008460998535156,270.6587219238281,183.74119567871094,97.0050277709961
2020-07-06,300.59283447265625,97.14158630371094,20.397964477539062,35.15970993041992,299.8521423339844,44.90619659423828,274.858154296875,187.3215789794922,97.93841552734375
2020-07-07,297.4949645996094,95.59070587158203,20.594728469848633,34.791500091552734,296.759521484375,44.49112319946289,272.00823974609375,185.71524047851562,96.53375244140625
2020-07-08,299.7144775390625,95.8727035522461,20.435441970825195,35.065311431884766,299.029296875,45.00273132324219,274.02777099609375,187.8731689453125,96.86640167236328
2020-07-09,298.19384765625,94.3499984741211,20.5572509765625,34.857601165771484,297.32696533203125,45.10892105102539,272.631103515625,188.16343688964844,95.3231430053711
2020-07-10,301.1972961425781,95.9384765625,20.341747283935547,35.23524856567383,300.36285400390625,45.34059143066406,275.36773681640625,189.0924072265625,96.94959259033203
2020-07-13,298.52435302734375,95.4873046875,20.519771575927734,34.90480422973633,297.76202392578125,44.60695266723633,272.8764343261719,186.15069580078125,97.16214752197266
2020-07-14,302.3968505859375,97.03820037841797,20.248050689697266,35.38631057739258,301.6206970214844,45.10892105102539,276.5284423828125,188.36663818359375,98.66845703125
2020-07-15,305.2208251953125,99.28462219238281,20.060653686523438,35.688438415527344,304.3918151855469,45.41781234741211,278.9820556640625,189.4988250732422,100.03616333007812
2020-07-16,304.1630554199219,99.14363861083984,20.13561248779297,35.575138092041016,303.38922119140625,45.15717697143555,278.17047119140625,188.3183135986328,100.04541015625
2020-07-17,305.060302734375,99.48200225830078,20.070024490356445,35.6695556640625,304.268798828125,45.263362884521484,278.90655517578125,188.84080505371094,100.31340789794922
2020-07-20,307.58203125,98.95565032958984,19.910736083984375,35.96223449707031,306.7278137207031,46.13214111328125,281.2280578613281,192.43084716796875,99.55561828613281
2020-07-21,308.1393127441406,99.94258880615234,19.873254776000977,36.05665588378906,307.38037109375,45.91012191772461,281.8130798339844,191.50189208984375,100.69227600097656
2020-07-22,309.9527282714844,100.74152374267578,19.75145149230957,36.254920959472656,309.1300354003906,46.209373474121094,283.4173278808594,192.67279052734375,101.29296112060547
2020-07-23,306.2031555175781,100.57233428955078,19.985694885253906,35.81117630004883,305.44158935546875,45.28266525268555,280.0295104980469,188.88922119140625,101.2560043334961
2020-07-24,304.248046875,99.83917999267578,20.12624168395996,35.58457946777344,303.474365234375,45.03168487548828,278.2176513671875,187.9021453857422,100.43353271484375
2020-07-27,306.4864501953125,100.24336242675781,19.97632598876953,35.83949661254883,305.6875,45.572261810302734,280.24658203125,190.15684509277344,100.47975158691406
2020-07-28,304.5975341796875,99.63240051269531,20.088764190673828,35.622344970703125,303.74871826171875,45.13787078857422,278.5102233886719,188.30862426757812,100.4520034790039
2020-07-29,308.2620849609375,101.26789093017578,19.85451889038086,36.04720687866211,307.48443603515625,45.697750091552734,281.8791809082031,190.6019744873047,101.5055160522461
2020-07-30,307.2042236328125,100.46894073486328,19.910736083984375,35.943355560302734,306.3872985839844,45.75566864013672,280.8505859375,191.02774047851562,100.4150619506836
2020-07-31,309.6221618652344,100.42192840576172,19.77956199645996,36.217159271240234,308.8083801269531,46.42173385620117,283.20037841796875,193.7952880859375,100.18402862548828
2020-08-03,311.7850341796875,100.66632843017578,19.610904693603516,36.46262741088867,310.9553527832031,46.88508605957031,284.98388671875,195.5661163330078,100.44275665283203
2020-08-04,312.9089660644531,101.16448211669922,19.545318603515625,36.61369323730469,312.15643310546875,47.03953552246094,286.1823425292969,196.24351501464844,101.05270385742188
2020-08-05,314.93963623046875,101.98223114013672,19.414138793945312,36.84028625488281,314.0952453613281,47.3194694519043,287.9659423828125,197.58856201171875,101.57019805908203
2020-08-06,317.0741882324219,101.90703582763672,19.29233169555664,37.07632064819336,316.1947937011719,47.860042572021484,289.90057373046875,199.7561492919922,101.61640930175781
2020-08-07,317.3009033203125,102.94096374511719,19.2829647064209,37.10463333129883,316.4218444824219,47.5608024597168,290.051513671875,198.37234497070312,102.7900390625
2020-08-10,318.2547302246094,104.02185821533203,19.226743698120117,37.21794128417969,317.3675537109375,47.47392272949219,290.9762878417969,198.17881774902344,103.78809356689453
2020-08-11,315.59136962890625,103.90908813476562,19.376659393310547,36.90637969970703,314.7478332519531,46.93335723876953,288.62652587890625,195.83706665039062,103.48313903808594
2020-08-12,319.9926452636719,104.52003479003906,19.11430549621582,37.41620635986328,319.1360778808594,47.773170471191406,292.58056640625,199.46580505371094,104.27787780761719
2020-08-13,319.44482421875,104.01246643066406,19.142417907714844,37.359554290771484,318.5592041015625,47.87935256958008,292.0804138183594,199.8722381591797,103.40921020507812
2020-08-14,319.4164733886719,104.31326293945312,19.133047103881836,37.36900329589844,318.5687255859375,47.82143020629883,292.0804138183594,199.46580505371094,103.72341918945312
2020-08-17,320.4459533691406,104.36024475097656,19.076831817626953,37.47285461425781,319.58062744140625,48.111026763916016,293.0241394042969,200.83990478515625,103.48313903808594
2020-08-18,321.1259765625,103.7586898803711,19.039350509643555,37.56727600097656,320.27105712890625,48.439231872558594,293.6374816894531,202.03982543945312,103.0949935913086
2020-08-19,319.8226318359375,103.35450744628906,19.11430549621582,37.41620635986328,318.9375305175781,48.20755386352539,292.391845703125,201.14955139160156,102.63294219970703
2020-08-20,320.8049011230469,102.87515258789062,19.04871940612793,37.529510498046875,319.9305419921875,48.6515998840332,293.3166809082031,203.0075225830078,102.11543273925781
2020-08-21,321.92889404296875,102.68717193603516,18.983129501342773,37.66168212890625,321.0655212402344,48.93153762817383,294.36419677734375,204.08160400390625,102.10617065429688
2020-08-24,325.2344970703125,104.36964416503906,18.795734405517578,38.029903411865234,324.31884765625,49.33696746826172,297.35565185546875,205.87181091308594,103.49236297607422
2020-08-25,326.311279296875,104.36964416503906,18.730146408081055,38.16208267211914,325.4537353515625,49.626564025878906,298.3936767578125,207.17816162109375,103.30754852294922
2020-08-26,329.6264343261719,104.1910629272461,18.533382415771484,38.55862045288086,328.7166748046875,50.56290817260742,301.4418029785156,210.97145080566406,103.08576965332031
2020-08-27,330.34423828125,104.72682189941406,18.505271911621094,38.6341438293457,329.4354248046875,50.48569107055664,302.0458068847656,210.72950744628906,103.87124633789062
2020-08-28,332.45989990234375,105.59154510498047,18.37409782409668,38.89850997924805,331.5633239746094,50.80423355102539,304.0086364746094,211.900390625,104.5458755493164
2020-08-31,331.2981872558594,104.7080307006836,18.439685821533203,38.75688934326172,330.3622131347656,50.80423355102539,302.9422302246094,212.11328125,103.71414947509766
2020-09-01,334.405517578125,105.24378204345703,18.271032333374023,39.10622024536133,333.47381591796875,51.528221130371094,305.7733154296875,215.03564453125,103.59402465820312
2020-09-02,339.2979431152344,107.11422729492188,17.999305725097656,39.6821403503418,338.2971496582031,52.17497634887695,310.2275390625,217.89990234375,105.47923278808594
2020-09-03,327.56744384765625,104.651611328125,18.61771011352539,38.30369567871094,326.6548767089844,49.916160583496094,299.4883728027344,208.2522735595703,103.59402465820312
2020-09-04,324.8851318359375,104.40725708007812,18.76762580871582,37.99213790893555,323.98785400390625,49.24043655395508,297.0914001464844,205.52342224121094,103.45541381835938
2020-09-08,316.05413818359375,102.23600769042969,19.273595809936523,36.96303176879883,315.13555908203125,47.58010482788086,288.92852783203125,198.6239471435547,101.61640930175781
2020-09-09,322.24053955078125,103.4203109741211,18.898805618286133,37.69944763183594,321.358642578125,48.815704345703125,294.62835693359375,203.65585327148438,102.7623291015625
2020-09-10,316.611328125,101.93523406982422,19.236114501953125,37.029109954833984,315.7787170410156,47.87935256958008,289.4758605957031,199.80453491210938,101.26524353027344
2020-09-11,316.76251220703125,102.47099304199219,19.217374801635742,37.06687927246094,315.93951416015625,47.74420928955078,289.6929016113281,199.1074676513672,101.76158905029297
2020-09-14,320.9748840332031,104.12525939941406,18.964393615722656,37.54838943481445,320.1007385253906,48.36199951171875,293.45819091796875,201.81227111816406,103.15583801269531
2020-09-15,322.60894775390625,104.2286605834961,18.861324310302734,37.737213134765625,321.7179870605469,48.83501052856445,294.9681701660156,203.83843994140625,103.02571105957031
2020-09-16,321.3243713378906,104.92420196533203,18.945650100708008,37.586158752441406,320.4412536621094,48.294429779052734,293.77911376953125,201.41477966308594,103.69493103027344
2020-09-17,318.56646728515625,104.47303009033203,19.104938507080078,37.24626159667969,317.6228942871094,47.753868103027344,291.21221923828125,199.3110809326172,103.20230865478516
2020-09-18,314.8357849121094,103.2135238647461,19.32044219970703,36.830848693847656,313.9661865234375,47.10710906982422,287.8243713378906,196.37359619140625,102.44013977050781
2020-09-21,311.3316955566406,100.6141357421875,19.535947799682617,36.42329788208008,310.471923828125,46.89912033081055,284.7007751464844,195.64651489257812,100.06990814208984
2020-09-22,314.48626708984375,101.08623504638672,19.33917999267578,36.78345489501953,313.6339111328125,47.663352966308594,287.5790100097656,198.9717559814453,100.10707092285156
2020-09-23,307.1673583984375,98.91458892822266,19.788930892944336,35.93992233276367,306.3603515625,46.42509460449219,280.9165954589844,193.7269744873047,98.26668548583984
2020-09-24,307.97381591796875,99.0750961303711,19.72334098815918,36.02522659301758,307.1770324707031,46.58955001831055,281.6904602050781,194.47348022460938,98.44326782226562
2020-09-25,312.9834289550781,100.45362854003906,19.42350959777832,36.6033821105957,312.14306640625,47.48923110961914,286.2012634277344,198.07015991210938,99.49361419677734
2020-09-28,318.1826477050781,102.38925170898438,19.104938507080078,37.21943664550781,317.3275451660156,48.311500549316406,290.99517822265625,201.6087188720703,101.01799774169922
2020-09-29,316.4275207519531,101.56779479980469,19.208003997802734,37.02040100097656,315.59942626953125,48.14705276489258,289.3357238769531,200.8718719482422,100.24650573730469
2020-09-30,318.84686279296875,102.0776596069336,19.039350509643555,37.295257568359375,317.9923095703125,48.47595977783203,291.5628356933594,202.0643310546875,101.24107360839844
2020-10-01,320.91522216796875,102.44590759277344,18.936281204223633,37.522727966308594,320.03375244140625,48.92095947265625,293.4108581542969,204.04200744628906,101.2317886352539
2020-10-02,317.8885803222656,102.89910888671875,19.095569610595703,37.17204666137695,316.9952392578125,48.12770080566406,290.6815185546875,200.60044860839844,101.55709838867188
